url_path,views_total,views_unique
/christineklli/global-yield-impacts/blob/main/SuppData_adjusted_country_weighted_estimates_glmRS.xlsx,7,2
/christineklli/global-yield-impacts,5,2
/christineklli/global-yield-impacts/tree/main/processed,5,1
/christineklli/global-yield-impacts/tree/main/results,5,1
/christineklli/global-yield-impacts/commits,3,1
/christineklli/global-yield-impacts/tree/main/data,3,1
/christineklli/global-yield-impacts/blob/main/processed/agimpacts_final.csv,2,1
/christineklli/global-yield-impacts/blob/main/results/figures/adjusted_predictions_gridded/.gitkeep.txt,2,1
/christineklli/global-yield-impacts/tree/main/results/figures,2,1
/christineklli/global-yield-impacts/tree/main/results/tables,2,1
