url_path,views_total,views_unique
/christineklli/global-yield-impacts,16,12
/christineklli/global-yield-impacts/tree/main/data,9,5
/christineklli/global-yield-impacts/blob/main/SuppData_adjusted_country_weighted_estimates_glmRS.xlsx,5,3
/christineklli/global-yield-impacts/tree/main/data/Food security data,4,4
/christineklli/global-yield-impacts/tree/main/data/CMIP5 data,3,2
/christineklli/global-yield-impacts/tree/main/results,3,2
/christineklli/global-yield-impacts/blob/main/results/figures/adjusted_predictions_country_weighted/.gitkeep.txt,3,1
/christineklli/global-yield-impacts/tree/main/.github/workflows,3,1
/christineklli/global-yield-impacts/blob/main/cc-agimpacts.Rproj,2,2
/christineklli/global-yield-impacts/tree/main/data/CMIP6 data,2,2
